GivenName,MiddleInitial,Surname,City,State
Bernard,C,Rouleau,Tignée,WLG
Thibaut,J,Quenneville,Audregnies,WHT
Rosemary,T,Richters,Idegem,VOV
Marc,R,Mieras,Glain,WLG
Ernest,A,Bureau,Lens-sur-Geer,WLG
Funs,L,Kits,Peissant,WHT
Iva,A,Cressac,Wielsbeke,VWV
Patricia,K,Barteaux,Zandhoven,VAN
Lars,S,Potman,Vliermaal,VLI
Shona,V,Yücel,Rijkhoven,VLI
Diede,S,Wesseling,Bredene,VWV
Mert,M,van Gelder,Gelrode,VBR
Anton,Z,Lebel,Han-sur-Lesse,WNA
Arno,O,Bonami,Obaix,WLX
Leroy,M,Berthiaume,Weerde,VBR
Randell,B,Heere,Ravels,VAN
Peppin,S,Daigle,Wommersom,VBR
Gerridina,M,Schrijen,Ledegem,VWV
Jaap-Jan,N,Schalks,Oupeye,WLG
Gus,D,de Vente,Mannekensvere,VWV
Giada,P,Noordman,Machelen,VBR
Cihad,M,van Woerden,Theux,WLG
Oriel,É,de Launay,La Gleize,WLG
Gauthier,F,Lereau,Halanzy,WHT
Rule,P,Laforge,Knokke,VWV
Raymond,R,Bertrand,Boirs,WLG
Byron,V,Monty,Oostwinkel,VOV
Patrice,C,Gilbert,Lint,VAN
Antonius,F,van der Wolf,Onze-Lieve-Vrouw-Lombeek,VBR
Patrick,C,Boileau,Hoeke,VWV
Guillaume,D,Rochefort,Moustier-sur-Sambre,WNA
Favor,H,Daviau,Gochenée,WNA
Parfait,A,Caouette,Fallais,WLG
Fletcher,F,Beaudry,Volkegem,VOV
Donat,T,Gauvin,Neu-Moresnet,WLG
Pinabel,A,Ducharme,Fraipont,WLG
Travis,I,Goede,Mortsel,VAN
Douglas,E,Bode,Deftinge,VOV
Euan,J,Vingerhoets,Mesnil-Eglise,WNA
Boran,A,van Ierland,Marche-lez-Ecaussinnes,WHT
Sinan,P,van de Berg,Berg,VBR
Suzette,V,Devost,Courcelles,WLX
Archaimbau,J,Laramée,Jupille-sur-Meuse,WLG
Richtje,S,Rahman,Budingen,VBR
Lothair,M,Meunier,Biesme,WNA
Adaja,T,Bevelander,Tillier,WNA
Sophie,L,Sylvain,Ingelmunster,VWV
Soner,M,Severens,Sivry,WLX
Edzard,O,Rodijk,Andenne,WNA
Leverett,A,Desroches,Halma,WHT
Gano,T,Rodrigue,Perk,VBR
Satordi,L,René,Lompret,WLX
Riley,D,Edens,Petegem-aan-de-Schelde,VOV
Eddie,M,Scheer,Hollain,WHT
Jonno,F,Vorstenbosch,Dilsen,VLI
Iva,H,Onstein,Rollegem-Kapelle,VWV
Josiah,M,Schultz,Spontin,WNA
Pryor,E,Perreault,Horion-Hozémont,WLG
Quintus,J,Voortman,Falaën,WNA
Neville,B,Chabot,Habergy,WHT
Harcourt,M,Lafond,Nessonvaux,WLG
Annegien,M,Olsthoorn,Houtvenne,VAN
Ferragus,E,Beaulieu,Aarschot,VBR
Dominique,A,Dumoulin,Gelbressée,WNA
Selina,B,Fijneman,Heurne,VOV
Gaspar,M,Leroy,Cerexhe-Heuseux,WLG
Levinus,H,van Oostende,Erembodegem,VOV
Storm,J,Moerkens,Mechelen-Bovelingen,VLI
Matilda,S,Berthelette,Kessel-Lo,VBR
Rabican,P,Giroux,Spontin,WNA
Efraim,N,Lopez,Bachte-Maria-Leerne,VOV
Joanna,T,Reault,Nederzwalm-Hermelgem,VOV
Ousama,G,Heiwegen,Mol,VAN
Talita,L,Welten,Herentals,VAN
Javier,S,Daoust,Fontaine-l'Evêque,WLX
Charlot,C,Labbé,Gimnée,WNA
Jaimy,A,Güzel,Opheers,VLI
Adorlee,A,Doyon,Driekapellen,VWV
Dorene,L,Beauchamp,Jauchelette,WBR
Patrick,A,Mailly,Meux,WNA
Coenraad,V,Kragt,Mornimont,WNA
Niall,I,Segaar,Brussel,WBR
Octave,A,Robitaille,Termes,WHT
Mirac,K,Mak,Fouleng,WHT
Philip,A,Ouellet,Chaineux,WLG
Romay,M,van der Biezen,Niel,VAN
Gaston,M,Chartier,Sint-Jan-in-Eremo,VOV
Teis,M,Vlaskamp,Framont,WHT
Vinnie,S,Miedema,Teuven,VLI
Giano,A,van Mol,Lontzen,WLG
Liske,T,van Elteren,Bohan,WNA
Nasir,Y,van Nieuwland,Lanklaar,VLI
Hélène,A,Forest,Aarschot,VBR
Hamilton,L,Pichette,Berg,VBR
Lesley,R,Moolenaar,Feluy,WHT
Xavier,N,van der Kwaak,Opdorp,VOV
Melisande,N,Chaloux,Bruyelle,WHT
Armaan,A,Elshof,Lombardsijde,VWV
Tobi,Q,Korporaal,Cognelée,WNA
Anandi,D,Melenhorst,Durnal,WNA
Adolf,M,Millenaar,Noorderwijk,VAN
Ava,D,van Hoogstraten,Chênée,WLG
Campbell,O,Deslauriers,Nafraiture,WNA
Joe,A,Immers,Chapon-Seraing,WLG
Agramant,P,Dodier,Diksmuide,VWV
Timoteüs,C,Mos,Boncelles,WLG
Patrice,T,Boncoeur,Onze-Lieve-Vrouw-Lombeek,VBR
Che,A,Smidt,Kluizen,VOV
Sijtze,G,Versteeg,Meux,WNA
Salar,S,Nieuwenhuijsen,Herstappe,VLI
Satordi,D,Laforest,Cognelée,WNA
Elvi,D,Kooiker,Hever,VBR
Abdelouahed,R,Esser,Finnevaux,WNA
Jesper,M,Leistra,Vinkem,VWV
Telford,M,Lavallée,Fouron-le-Comte,VLI
Janik,R,Feller,Erezée,WHT
Talbot,L,Ouellet,Wilrijk,VAN
Basil,N,Gros,Ramskapelle,VWV
Jesper,A,Varieur,Opoeteren,VLI
Xavier,P,Poulin,Nieuwpoort,VWV
Éric,A,Vaillancour,Elen,VLI
Piet,N,van den Hengel,Roclenge-sur-Geer,WLG
Faiz,M,Baarda,Tienen,VBR
Kees-Jan,J,Westera,Tielen,VAN
Rojda,G,Baggerman,Eksel,VLI
Barteld,A,Schepens,Esneux,WLG
Cerise,I,Bourget,Nessonvaux,WLG
Rajeev,D,Hartholt,Monceau-sur-Sambre,WLX
Olivier,J,Turgeon,Engelmanshoven,VLI
Stach,B,van Doeselaar,Fooz,WLG
Jurn,A,van der Plaats,Beclers,WHT
Zurie,A,Duhamel,Autelbas,WHT
Matej,R,Raap,Nalinnes,WLX
Allyriane,I,Dupuy,Longchamps,WNA
Vignette,É,Goguen,Jamagne,WNA
Estelle,F,Huard,Couthuin,WLG
Leida,R,Schotte,Raeren,WLG
Audric,A,Lapresse,Dolembreux,WLG
Jidde,B,Meijer,Holsbeek,VBR
Arjen,C,Meilink,Gochenée,WNA
Apolline,A,L'Heureux,Bouvignes-sur-Meuse,WNA
Rory,S,Reimert,Gerpinnes,WLX
Floortje,C,Haringa,Framont,WHT
Wyatt,A,Lagueux,Wontergem,VOV
Courtland,F,Pariseau,Ophoven,VLI
Amaury,A,Lizotte,Ciney,WNA
Niyazi,S,Noteboom,Zichem,VBR
Gustave,A,Course,Villers-le-Temple,WLG
Lolke,C,Coremans,Kontich,VAN
Alfred,X,Guertin,Spiere,VWV
Larisa,E,Overwater,Leers-Nord,WHT
Logan,A,Gudde,Bourseigne-Vieille,WNA
Rino,G,van Huizen,Sint-Gillis-Waas,VOV
Fletcher,E,Gingras,Avekapelle,VWV
Claudette,O,Paradis,Arc-Wattripont,WHT
René,E,van den Bogaard,Baugnies,WHT
Koert,M,van Hoof,Charleroi,WLX
Théophile,D,Souplet,Sint-Stevens-Woluwe,VBR
Patience,R,Devoe,Olsene,VOV
Stéphane,F,Franchet,Onkerzele,VOV
Russell,A,de Launay,Gestel,VAN
Maximillian,J,Muller,Hallaar,VAN
Cherryl,L,Punter,Oostrozebeke,VWV
Florent,C,Heek,Grivegnée,WLG
Ramzi,S,Hoogakker,Melsen,VOV
James,I,Phan,Weillen,WNA
Patience,R,Baron,Angre,WHT
Dimas,R,Croonen,Evergem,VOV
Hamilton,H,LaGarde,Boignée,WNA
Allyriane,D,Étoile,Afsnee,VOV
René,M,Labrie,Forville,WNA
Léroy,D,Robijn,Zottegem,VOV
Twan,L,Heesen,Dilbeek,VBR
Mikey,A,Grolleman,Grimminge,VOV
Karel,A,Garcia,Ciply,WHT
Burrell,A,Duplessis,Diksmuide,VWV
Romain,C,Lacharité,Conneux,WNA
Alessandra,F,Fokkema,Walhain,WBR
Vincent,A,Lambert,Falisolle,WNA
Kyano,E,Pardoel,Enghien,WHT
Brad,S,Hollemans,Heusden,VOV
Roland,S,Dufresne,Sovet,WNA
Fortun,A,Rocheleau,Bovigny,WHT
Gerlinda,M,Koerhuis,Engis,WLG
Moore,A,Cantin,Mormont,WHT
Christien,B,Berthiaume,Falmignoul,WNA
Varden,S,Benjamin,Tongrinne,WNA
Caresse,S,Bossé,Overijse,VBR
Dolores,R,Mank,Lille,VAN
Donatien,J,Séguin,Sint-Pieters-Kapelle,VBR
Samy,M,Westerbeek,Helen-Bos,VBR
Leverett,O,Croquetaigne,Dave,WNA
Leal,N,Monty,Ortho,WHT
Raoul,J,Grenier,Steendorp,VOV
Martine,A,Dufresne,Tignée,WLG
Nicolette,M,Aras,Autelbas,WHT
Daryl,M,Keijsers,Halma,WHT
Arda,D,Hemmink,Egem,VWV
Aboubakr,J,Verhaaf,Bogaarden,VBR
R,N,Westenbrink,Paulatem,VOV
Legget,T,Audet,Sint-Maria-Latem,VOV
Thierry,V,Steijn,Enghien,WHT
Desire,J,Michel,Vencimont,WNA
Vallis,C,Patry,Wespelaar,VBR
Abdelmajid,K,van Iersel,Viersel,VAN
Matilda,S,Brochu,Montenaken,VLI
Abdulrahman,V,Brummel,Guignies,WHT
Jacques,J,Bériault,Retinne,WLG
Satish,I,van de Weg,Romershoven,VLI
Saville,M,Charbonneau,Vinkem,VWV
Garland,H,Quessy,Vaux-sur-Sûre,WHT
Alexandre,L,Fecteau,Bailièvre,WLX
Ara,D,Baremans,Berchem,VAN
Frontino,A,de Launay,Middelburg,VOV
Ogier,A,Quirion,Brussel,WBR
Ifrah,M,Pruim,Duisburg,VBR
Alexis,D,van Helmond,Beernem,VWV
Levent,R,van Leent,Ronse,VOV
Michał,Z,Genç,Harre,WHT
Taede,D,Elfring,Soiron,WLG
Ignace,L,Boileau,Langemark,VWV
Didier,A,Chevrette,Kaulille,VLI
Timothée,P,Pomerleau,Averbode,VBR
Timber,J,Laban,Beclers,WHT
Octave,M,Caisse,Néchin,WHT
Carmel,M,Dibbets,Hakendover,VBR
Jorben,C,Benneker,Laneffe,WNA
Marja,J,Hermens,Rotheux-Rimière,WLG
Lamiae,Q,Benschop,Rosmeer,VLI
Imran,F,Erkelens,Dochamps,WHT
Hugh,V,Guérette,Tourinnes-Saint-Lambert,WBR
Yvette,M,Forest,Roisin,WHT
Lisa-Marie,Z,Huijben,Morlanwelz,WHT
Jérôme,A,Laboissonnière,Arc-Ainières,WHT
Margarethe,G,Weustink,Tihange,WLG
Jori,M,Welgraven,Ham-sur-Heure/Nalinnes,WLX
Ray,D,Lessard,Temse,VOV
Sergio,C,den Otter,Lombardsijde,VWV
Marcel,S,Perreault,Lapscheure,VWV
Namo,L,Majory,Vechmaal,VLI
Éléonore,C,Bordeaux,Olsene,VOV
Aurore,T,Jobin,Limerlé,WHT
Tuur,M,Lammerts,Ave-et-Auffe,WNA
Brice,S,Hachée,Ezemaal,VBR
Juno,J,Herder,Landen,VBR
Guerin,P,Martin,Merlemont,WNA
Bellamy,A,Bisson,Hermeton-sur-Meuse,WNA
Malagigi,D,Du Trieux,Wielsbeke,VWV
Vaden,M,Labonté,Thommen,WLG
Delmar,P,Bellemare,Wayaux,WLX
Senior,J,Despins,Bleid,WHT
Rémon,D,van Tintelen,Ganshoren,WBR
Adrien,L,Paquet,Fauroeulx,WHT
Arlene,V,van der Boon,Sart-Bernard,WNA
Birkan,I,de Hoog,Houtem,VWV
Laurent,E,Desaulniers,Onkerzele,VOV
Millard,H,Dubois,La Hestre,WHT
Bekir,O,Lam,Thieulain,WHT
Jeoffroi,J,Truchon,La Roche-en-Ardenne,WHT
Octave,M,Marier,Champlon,WHT
Fabrice,É,Auclair,Wiekevorst,VAN
Alfred,C,Bélair,Hillegem,VOV
Kaj,L,Compagner,Hodister,WHT
Hugh,D,Quirion,Montignies-sur-Sambre,WLX
Lyndon,J,Gudde,Souvret,WLX
Henriette,A,Querry,Halen,VLI
Roger,H,Racine,Dalhem,WLG
Léon,P,Barrette,Brecht,VAN
Warrane,S,Larivière,Givry,WHT
Fauna,M,Lécuyer,Thieu,WHT
Müge,M,Hugen,Spontin,WNA
Dian,Z,Eijkemans,Verrebroek,VOV
Yorin,J,Talhaoui,Eben-Emael,WLG
Ali,A,Kempkes,Wondelgem,VOV
Theodore,B,Voortman,Aubel,WLG
Mohamed,D,van den Ouweland,Helkijn,VWV
Lubna,R,Schavemaker,Jeneffe,WNA
Yasar,N,Egelmeers,Houtaing,WHT
Tristan,G,Salois,Merdorp,WLG
Brigitte,L,Bonami,Borgloon,VLI
Léon,E,Monrency,Hamont-Achel,VLI
Edwin,B,Kranenburg,Lapscheure,VWV
Ray,N,D'Aoust,Biesme-sous-Thuin,WLX
Anouk,P,Blais,Ellikom,VLI
Maureen,E,Lemieux,Les Avins,WLG
Remco,H,Tilstra,Veldegem,VWV
Natalie,G,Savard,Samart,WNA
Nermin,B,van Erven,Rièzes,WLX
Verney,A,Arnoux,Bièvre,WNA
Melville,C,Grivois,Orgeo,WHT
Ganelon,E,Baron,Westerlo,VAN
Nils,L,Daalhuizen,Bray,WHT
Alexandrie,L,Perillard,Veulen,VLI
Gaston,M,Schuil,Haasrode,VBR
Lisanne,B,Scheltinga,Wijshagen,VLI
Alican,R,Gerdes,Sint-Denijs-Boekel,VOV
Huette,P,Miron,Merchtem,VBR
Natalie,N,Vallée,Meeuwen-Gruitrode,VLI
Jinthe,I,Venmans,Tertre,WHT
Auriville,J,Tardif,Hermeton-sur-Meuse,WNA
Donny,C,Vu,Nessonvaux,WLG
Artus,O,Deniger,Balâtre,WNA
Sergei,D,Ekkel,Gerin,WNA
Aris,B,Kandemir,Ellemelle,WLG
Josette,J,Tachel,Fraire,WNA
Bertrand,B,Guernon,Berzée,WNA
Lianne,R,Korte,Assebroek,VWV
Bellamy,C,Faucher,Jallet,WNA
André,L,Gilbert,Sart-en-Fagne,WNA
Rieuwert,M,Wilschut,Bersillies-l'Abbaye,WLX
Avenall,A,Cinq-Mars,Linden,VBR
Shayenne,N,Brinkman,Esneux,WLG
Arno,A,Lamoureux,Casteau,WHT
Rino,M,van Oostveen,Glons,WLG
Rinze,E,Kattenberg,Geetbets,VBR
Christian,L,Cuillerier,Anloy,WHT
Marcelino,S,van 't Hul,Verlée,WNA
Elif,H,de Lang,Sint-Martens-Voeren,VLI
Chandeni,H,Bolle,Stene,VWV
Henri,A,LeBatelier,Marchovelette,WNA
Benoît,P,Tardif,Mal,VLI
Talbot,M,Lesage,Walhain,WBR
Kaya,B,van der Sande,Bellaire,WLG
Duuk,R,Bosman,Bergilers,WLG
Engel,M,van Zessen,Borgloon,VLI
Cheng,R,Tuijn,Ramillies,WBR
Slainie,S,Douffet,Vaux-Chavanne,WHT
Anwar,K,Fischer,Voroux-lez-Liers,WLG
Burhan,D,Breijer,Hombourg,WLG
Percy,E,Achin,Méan,WNA
Damiane,E,Echeverri,Fooz,WLG
Abigaïl,R,Beijen,Moorsel,VOV
Chiron,V,Gonzalez,Boussu,WHT
Vincent,L,Bédard,Saint-Servais,WNA
Benito,A,Oostenbrink,Villers-le-Gambon,WNA
Myron,T,van der Staak,Hillegem,VOV
Armand,V,Faucher,Chassepierre,WHT
Lamyae,J,Yigit,Namêche,WNA
Mükremin,M,Ruigrok,Sint-Agatha-Rode,VBR
Arienne,A,Gadbois,Graux,WNA
Shannen,J,Schuurmans,Zuidschote,VWV
Sıla,O,Welgraven,Linsmeau,WBR
Dico,L,Bijlsma,Bogaarden,VBR
Victorine,G,Corbeil,Saint-André,WLG
Leendert-Jan,P,Kuijt,Wasmuel,WHT
Spike,R,Bravenboer,Filot,WLG
Nikolaas,S,van Hal,Fontenoy,WHT
Courtland,M,Grandpré,Villers-le-Peuplier,WLG
Xavier,A,Ouellet,Fernelmont,WNA
Otman,D,Franzen,Sensenruth,WHT
Gaetan,F,Denis,Tourinne,WLG
Jeoffroi,H,Chrétien,Chokier,WLG
Charisse,L,Badal,Roloux,WLG
Nour,I,van der Wel,Antwerpen,VAN
Maxim,D,den Otter,Havinnes,WHT
Roger,B,Lafond,Zoerle-Parwijs,VAN
Isabelle,J,Breton,Ravels,VAN
Lyam,N,van Beckhoven,Brûly,WNA
Wahiba,L,Voskuil,Nederename,VOV
Patrice,Y,Marcil,Sugny,WNA
Thierry,M,van den Nieuwenhuizen,Cour-sur-Heure,WLX
Timoteus,N,Nagtzaam,Suxy,WHT
Faisel,D,Haaksema,Sint-Truiden,VLI
Ray,J,Bizier,Uikhoven,VLI
Shana,E,Özkan,Beuzet,WNA
Mischa,F,Heine,Kortenberg,VBR
Joes,G,Jaarsma,Daknam,VOV
Véronique,G,Grondin,Jehay,WLG
Roan,M,Bezemer,Lahamaide,WHT
Merlin,J,Lapresse,Wolvertem,VBR
Christ,J,Reijs,Lobbes,WLX
Lando,J,Hoogewerf,Kaggevinne,VBR
Senior,A,Morel,Masnuy-St-Jean,WHT
Leo,O,Verbeek,Bra,WLG
Aubrey,Y,Tessier,Pecq,WHT
Sümeyya,S,Brilman,Athis,WHT
Georgia,E,Moed,Evegnée,WLG
Trijntje,Z,Melissant,Ophain-Bois-Seigneur-Isaac,WBR
Vachel,K,Fongemie,Fexhe-Slins,WLG
Coert,B,Eisses,Wommersom,VBR
Nick,H,Star,Calonne,WHT
Fifine,I,L'Angelier,Pulle,VAN
Grégoire,D,Simard,Heist-Op-Den-Berg,VAN
Daisi,A,Douffet,Moeskroen,WHT
Kyano,C,Kompier,Olmen,VAN
Lava,S,Lanting,Bléharies,WHT
Fiacre,L,Boisvert,Molenstede,VBR
Elisha,S,Blankert,Néchin,WHT
Melissa,G,Bezuijen,Ivoz-Ramet,WLG
Chapin,B,Racine,Le Roeulx,WHT
Jo-Anne,D,Wilschut,Bruyelle,WHT
Tuncay,K,Weel,Webbekom,VBR
Meta,T,den Hertog,Brussel,WBR
Sandeep,R,Emans,Amougies,WHT
Huette,M,Rousseau,Lommel,VLI
Kyona,S,van Vloten,Willebroek,VAN
Christ,D,van den Berk,Flobecq,WHT
Donatien,M,Aubé,Gougnies,WLX
Alfred,V,Lavoie,Oosterzele,VOV
Millard,A,Moquin,Lettelingen,WHT
Tilly,T,Lagrange,Rocourt,WLG
Armina,L,Couturier,Koekelare,VWV
Christof,C,Hesen,Hertsberge,VWV
Dixie,G,Robitaille,Hekelgem,VBR
Laurene,G,Angélil,Ombret,WLG
Matilda,A,Aupry,Messancy,WHT
Badr,M,Okkema,Saint-Vith,WLG
Arthur,É,Leduc,Bevel,VAN
Davet,B,Cuillerier,Essen,VAN
Tarık,R,Ahmadi,Rocourt,WLG
Ernst-Jan,M,Douw,Taviers,WNA
Indi,T,Bruijn,Bois-de-Lessines,WHT
Geertjan,B,Francisca,Enghien,WHT
Slainie,S,Croteau,Leisele,VWV
Colin,I,Stapper,Lesdain,WHT
D'Arcy,H,Casgrain,Elene,VOV
Mariette,V,Marleau,Dworp,VBR
Gill,A,Couturier,Werm,VLI
Arthur,O,Boucher,Everbeek,VOV
Belda,M,Moquin,Forest,WHT
Legget,E,Chandonnet,Nederboelare,VOV
Tjade,M,Stappers,Melsele,VOV
Berangaria,E,Corbin,Bras,WHT
Rishan,N,Oskamp,Roborst,VOV
Gaetan,T,Richer,Meerbeek,VBR
Ammar,P,Macnack,Cornesse,WLG
Prewitt,H,Phaneuf,Vaux-et-Borset,WLG
Isha,L,Stelwagen,Zerkegem,VWV
Galatee,R,Monrency,Destelbergen,VOV
Mallory,A,Labbé,Biesme,WNA
Keo,G,Hamhuis,Geetbets,VBR
Evrard,D,Brisette,Sint-Blasius-Boekel,VOV
Michèlle,Y,Jägers,Retie,VAN
Lothair,M,Gaudreau,Viesville,WLX
Miko,S,de Kievit,Melsen,VOV
Fabrizio,J,Boonzaaijer,Awan,WLG
Bastian,R,Pastoor,Genoelselderen,VLI
Ludo,N,Ludwig,Vosselaar,VAN
Verney,B,Guilmette,Roly,WNA
Matty,R,Roerdink,L'Ecluse,WBR
Radboud,J,Spa,Villers-la-Bonne-Eau,WHT
Victor,X,Savoie,Oetingen,VBR
Nouel,J,Vallée,Messines,VWV
Brier,C,Gour,Fraiture,WLG
Amabella,M,Bonsaint,Pellenberg,VBR
Tonia,M,Trompetter,Forville,WNA
Aubrey,S,CinqMars,Heusy,WLG
Hilco,D,Schuring,Huissignies,WHT
Raoul,A,Courtemanche,Impe,VOV
Izaak,V,Dirksen,Marquain,WHT
Zinab,T,van de Weerd,Tintigny,WHT
Olivier,N,Lurvink,Rosée,WNA
Giulia,P,Fokkens,Longueville,WBR
Haydar,K,Roolvink,Harzé,WLG
Landers,E,Franchet,Gerin,WNA
Dyllan,A,Hamoen,Brugge,VWV
Talbot,A,Hughes,Nieuwmunster,VWV
Porter,C,Senneville,Dessel,VAN
Corette,D,Duclos,Dalhem,WLG
Romain,B,Beauchemin,Ebly,WHT
Bertrand,E,Plourde,Burg-Reuland,WLG
Anaïs,S,Deschênes,Arc-Ainières,WHT
Jeanne,A,Rocher,Vance,WHT
Loyal,E,Lessard,Wommersom,VBR
Caroline,P,Quiron,Lesterny,WHT
Beltane,M,Dennis,Remicourt,WLG
Jesper,A,Moquin,Elingen,VBR
Varden,J,L'Anglais,Bolinne,WNA
Alexandrie,A,Aubé,Hargimont,WHT
Emmanuel,P,Rocher,Latinne,WLG
Prewitt,F,Ruel,Ooike,VOV
Henri,H,Daigneault,Amberloup,WHT
Michèle,A,Thibodeau,Oignies-en-Thiérache,WNA
Florentijn,F,Roelands,Horpmaal,VLI
Benoît,K,Proulx,Rendeux,WHT
Alfred,A,Mercure,Agimont,WNA
Parfait,R,Bisson,Vlimmeren,VAN
Alexandrie,P,Demers,Reuland,WLG
Maurelle,T,Desaulniers,Jehay,WLG
Ogier,B,Théberge,Letterhoutem,VOV
Gaye,L,Waninge,Herent,VBR
Rachell,F,Haasjes,Loncin,WLG
Liene,L,van den Muijsenberg,Lanquesaint,WHT
Bayard,J,Crête,Pommeroeul,WHT
Millard,O,Cotuand,Herten,VLI
Jean-Pierre,A,Gielis,Obigies,WHT
Remie,G,Kitzen,Zarren,VWV
Sargent,M,Voisine,Saint-Mard,WHT
Marmion,A,Mailly,Mesvin,WHT
Cammile,H,Parizeau,La Hulpe,WBR
Natali,A,Feddema,Biévène,VBR
Daisi,P,Bazinet,Merlemont,WNA
Arnoud,B,Antens,Mellet,WLX
Martin,L,Brasseur,Petit-Fays,WNA
Naoufal,R,Jongen,Braives,WLG
Merlin,J,Patry,Neufchâteau,WLG
Mireille,A,Tops,Kruishoutem,VOV
Amabella,F,Moïse,Evregnies,WHT
Guerin,M,Hétu,Roucourt,WHT
Leco,J,Langedijk,Wasseiges,WLG
Joëll,D,van den Brandt,Mortier,WLG
Yvan,H,Budel,Warzée,WLG
Channing,L,Berthelette,Heer,WNA
William,A,LeBatelier,Nederbrakel,VOV
Rense,J,Yasar,Chaudfontaine,WLG
Hamed,R,Nies,Ordingen,VLI
Yorben,S,Malik,Houtaing,WHT
Nouhaïla,R,Heijblom,As,VLI
Eglantine,B,Labrosse,Gutschoven,VLI
Florus,B,Jomphe,Grapfontaine,WHT
Jules,M,Bois,Grotenberge,VOV
Robby,M,Deen,Vezin,WNA
Alacoque,H,Charpie,Machelen,VOV
Wing,R,van Reeuwijk,Hombourg,WLG
Jolie,D,Desnoyers,Serskamp,VOV
Trix,S,Out,Jalhay,WLG
Germain,A,Paiement,Ellezelles,WHT
Minette,A,Savoie,Kessel,VAN
Brecht,L,van der Meiden,Yernée-Fraineux,WLG
Gaspar,E,Houle,Sivry-Rance,WLX
Lior,M,van de Haterd,Steenhuize-Wijnhuize,VOV
Eimert,E,Tolboom,Willebringen,VBR
Sijbrand,P,Houkes,Dalhem,WLG
Melchior,L,ter Avest,Beclers,WHT
El,S,Sanders,Borlo,VLI
Liam,M,Lenssen,Heusy,WLG
Eugenia,R,Chauvet,Chercq,WHT
Richard,A,Folmer,Dalhem,WLG
Angelina,E,van Zuidam,Liers,WLG
Orson,B,Lafontaine,Halle,VBR
Kyrill,N,van Leenen,Bellefontaine,WHT
Halima,L,van den Nieuwenhof,Racour,WLG
Armand,E,Brisebois,Neerwaasten,WHT
Telford,E,Rochefort,Dour,WHT
Yoël,C,Willekes,Herderen,VLI
Romano,E,ten Brink,Houyet,WNA
Melik,M,Inan,Sint-Amands,VAN
Paien,R,LaCaille,Vaulx,WHT
D'Arcy,H,Mouet,Waret-la-Chaussée,WNA
Tristan,A,Lauzier,Heindonk,VAN
Kenny,J,Vijn,Gosselies,WLX
Dominique,L,Plouffe,Schalkhoven,VLI
Kerman,J,Norbert,Teuven,VLI
Jolie,F,Lessard,Deftinge,VOV
Joanna,S,Bergeron,Beez,WNA
Kamile,R,Morssink,Amay,WLG
William,B,Barrière,Edelare,VOV
Nana,N,Gevers,Hever,VBR
Yves,A,Baron,Markegem,VWV
Whitley,M,van der Kroon,Haine-Saint-Pierre,WHT
Luite,L,van Eldijk,Argenteau,WLG
Immanuel,W,Kox,Xhoris,WLG
Eugenia,V,Houde,Spy,WNA
Audric,B,Beaudouin,Leval-Chaudeville,WLX
Valentine,F,Lapierre,Heyd,WHT
Vernon,B,Ayot,Overmere,VOV
Kaja,M,Naafs,Trois-Ponts,WLG
Colette,L,Dubois,Zuienkerke,VWV
Aloin,B,Descoteaux,Ham,VLI
Cristiaan,T,Franzen,Oostkerke,VWV
Fusberta,L,Harquin,Beveren,VWV
Raymond,A,St-Jean,Mortier,WLG
Campbell,C,Labelle,Beerst,VWV
Édouard,M,Batard,Veerle,VAN
Viollette,A,Hervé,Gent,VOV
Élisabeth,R,Parrot,Bassevelde,VOV
Yamila,S,de Vlieger,Ecaussinnes,WHT
Rolando,R,Wiering,Chastre,WBR
Govert,L,Oude Nijhuis,Sint-Niklaas,VOV
Navid,S,Luth,Stavele,VWV
Engin,E,Gijsberts,Meensel-Kiezegem,VBR
Carolos,L,Senneville,Feschaux,WNA
Karel,B,Courcelle,Monstreux,WBR
Müslüm,E,Harinck,Grâce-Berleur,WLG
Yente,S,Poorthuis,Nederbrakel,VOV
Wybren,S,Schoonderbeek,Boorsem,VLI
Bote,M,Jeuring,Ecaussinnes-Lalaing,WHT
Selman,M,Knoppers,Neufchâteau,WHT
Erick,S,Albrecht,Kerkhove,VWV
Amedee,A,Jardine,Etikhove,VOV
Cennet,G,Proost,Francorchamps,WLG
Whitney,I,Henstra,Schriek,VAN
Jordan,G,Vervaart,Roucourt,WHT
Vera,X,van Grondelle,Wanlin,WNA
Devi,G,Hereijgers,Gros-Fays,WNA
Shailesh,H,van der Dussen,Soulme,WNA
Abdelali,R,Nijhuis,Willemeau,WHT
Selçuk,W,Koenes,Sint-Antelinks,VOV
Montague,C,Courtemanche,Hasselt,VLI
Lode,M,van Oudheusden,Brecht,VAN
Eustache,R,Cartier,Berchem,VAN
Btissame,E,Graven,Roisin,WHT
Theun,P,Gevers,Assent,VBR
Blondelle,L,Lamy,Kortenberg,VBR
Cécile,V,St-Jacques,Aiseau-Presles,WLX
Norris,D,Lagacé,Poederlee,VAN
Ziad,V,Poppeliers,Mont-Saint-Guibert,WBR
Gradasso,É,Michel,Diksmuide,VWV
Bevis,M,Patel,Teralfene,VBR
Philip,M,Paradis,Saint-Mard,WHT
Ewald,K,Piek,Izier,WHT
Cerise,P,Beausoleil,Neupré,WLG
Twan,V,Liefting,Genoelselderen,VLI
